"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","notes","notes2","text_kind","","","","","","","","","","","","","","","","","",""
"0c","4152","","多魯市","Dorington","Dorington","Dorington","","","signpost","","","","","","","","","","","","","","","","","",""
"0c","415a","","←鐘塔","←Clock Tower","←Tour de l'Horloge","←Menara Jam","","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4162","","↓山達農莊","↓Mountreach Farm","↓Ferme Piedmont","↓Bukit Ternak","","","signpost","","","","","","","","","","","","","","","","","",""
"0c","416d","","山達農莊","Mountreach Farm","Ferme Piedmont","Bukit Ternak","","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4176","","←咖啡林","←Coffee Forest","←Bois-Café","←Hutan Kopi","","","signpost","","","","","","","","","","","","","","","","","",""
"0c","417f","","↑多魯市","↑Dorington","↑Dorington","↑Dorington","","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4189","","↓山達農莊","↓Mountreach Farm","↓Ferme Piedmont","↓Bukit Ternak","","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4194","","↑咖啡林
←天之岩
↓山達農莊","↑Coffee Forest
←Sky Rock
↓Mountreach Farm","↑Bois-Café
←Falaise Azur
↓Ferme Piedmont","↑Hutan Kopi
←Batulangit
↓Bukit Ternak","","","signpost","","","","","","","","","","","","","","","","","",""
"0c","41af","","咖啡林","Coffee Forest","Bois-Café","Hutan Kopi","","","signpost","","","","","","","","","","","","","","","","","",""
"0c","41b6","","天之岩","Sky Rock","Falaise Azur","Batulangit","","","signpost","","","","","","","","","","","","","","","","","",""
