"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","notes","notes2","text_kind","","","","","","","","","","","","","","","","","",""
"c","40a7","","往學校","↑School","↑Ecole","↑Sekolah","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40af","","往天文台","→Observatory","→Observatoire","→Observatorium","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40b8","","貝爾村","Bell Town","Cari-Bourg","Kota Bel","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40c0","","天文台","Observatory","Observatoire","Observatorium","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40c7","","往廢鐵場","↑Scrapyard","↑Casse municipale","↑Rongsok","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40d1","","往水晶村","↑Crystal Town","↑Cristalys","↑Kristalia","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40db","","科技城廣場","Tech City","Technoville","Kota Tekno","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40e6","","發電廠","Power Plant","Centrale","Pembangkit","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40ed","","水晶村","Crystal Town","Cristalys","Kristalia","","","signpost","","","","","","","","","","","","","","","","","",""
"c","40f5","","礦坑
閒人勿進","Crystal Mines
NO ENTRY!","Mines de cristal
ENTREE INTERDITE","Tambang Kristal
DILARANG MASUK!","""no entry""","","signpost","","","","","","","","","","","","","","","","","",""
"c","4103","","↑貝爾村","↑Bell Town","↑Cari-Bourg","↑Kota Bel","","","signpost","","","","","","","","","","","","","","","","","",""
"c","410d","","↑科技城","↑Tech City","↑Technoville","↑Kota Tekno","","","signpost","","","","","","","","","","","","","","","","","",""
"c","4116","","←多魯市","←Dorington","←Dorington","←Dorington","","","signpost","","","","","","","","","","","","","","","","","",""
"c","4120","","↑水晶村","↑Crystal Town","↑Cristalys","↑Kristalia","","","signpost","","","","","","","","","","","","","","","","","",""
"c","412a","","↓科技城","↓Tech City","↓Technoville","↓Kota Tekno","","","signpost","","","","","","","","","","","","","","","","","",""
"c","4133","","↓發電廠","↓Power Plant","↓Centrale","↓Pembangkit","","","signpost","","","","","","","","","","","","","","","","","",""
